StudentID,Gender,GroupID,Region,AdmissionCode,EntranceScore,CreditsEarned1,CreditsEarned2,CreditsEarned3,CreditsEarned4,GPA1,GPA2,GPA3,GPA4,TermStatus1,TermStatus2,TermStatus3,TermStatus4,Graduated,University
S00015,Female,2,7,A00,25.95,24,10,11,19,2.63,3.81,3.06,3.66,Pass,Pass,Pass,Pass,1,Hutech
S00016,Female,2,2,D01,22.52,15,18,15,25,2.91,2.59,3.11,3.24,Pass,Pass,Pass,Pass,1,Văn Lang
S00017,Male,5,2,A00,28.45,12,16,13,17,3.03,3.42,2.86,3.22,Pass,Pass,Pass,Pass,1,Hutech
S00018,Male,3,3,C00,27.24,16,11,24,13,3.6,3.41,3.85,3.05,Pass,Pass,Pass,Pass,1,Hutech
S00019,Female,1,7,B00,27.23,25,11,18,19,3.68,3.28,2.93,3.53,Pass,Pass,Pass,Pass,1,Văn Lang
S00020,Male,4,2,C00,28.92,18,11,15,25,3.08,3.29,3.53,3.24,Pass,Pass,Pass,Pass,1,Hutech
S00021,Female,1,3,D01,26.02,21,13,25,20,3.17,3.09,2.68,3.11,Pass,Pass,Pass,Pass,1,Văn Lang
S00022,Female,2,3,B00,26.48,24,20,21,22,3.54,2.95,3.35,3.8,Pass,Pass,Pass,Pass,1,Văn Lang
S00023,Male,1,7,A01,27.49,24,22,15,17,3.26,3.88,3.98,3.43,Pass,Pass,Pass,Pass,1,Hutech
S00024,Female,6,6,A01,29.79,14,11,19,23,3.47,3.56,3.23,3.27,Pass,Pass,Pass,Pass,1,Hutech
S00025,Female,4,4,B00,20.71,10,18,14,18,3.89,2.15,2.49,3.53,Pass,Pass,Pass,Pass,1,Hutech
S00026,Female,2,7,D01,25.5,24,24,14,18,3.53,2.78,3.19,3.49,Pass,Pass,Pass,Pass,1,Văn Lang
S00027,Male,1,4,D01,28.88,24,11,15,18,3.38,3.98,2.9,3.02,Pass,Pass,Pass,Pass,1,Hutech
S00028,Male,5,7,A00,27.61,21,21,23,21,2.9,3.58,4.0,2.96,Pass,Pass,Pass,Pass,1,Văn Lang
S00029,Male,5,1,A01,28.02,13,13,20,18,3.39,3.96,3.98,3.93,Pass,Pass,Pass,Pass,1,Văn Lang
S00030,Female,4,6,D01,25.01,17,10,21,25,3.44,3.86,2.71,3.76,Pass,Pass,Pass,Pass,1,Hutech
S00031,Male,6,4,A01,26.16,21,24,17,11,3.32,3.35,3.22,3.58,Pass,Pass,Pass,Pass,1,Văn Lang
S00032,Female,6,2,C00,20.47,17,24,12,15,3.65,3.93,3.8,2.07,Pass,Pass,Pass,Fail,0,Hutech
S00033,Male,4,6,D01,27.12,15,14,23,13,2.95,3.05,3.36,2.86,Pass,Pass,Pass,Pass,1,Văn Lang
S00034,Male,4,4,A00,29.28,14,21,14,13,3.5,3.83,3.03,3.24,Pass,Pass,Pass,Pass,1,Văn Lang
S00035,Male,5,2,B00,20.75,12,16,24,16,2.68,3.94,2.93,3.27,Pass,Pass,Pass,Pass,1,Hutech
S00036,Female,6,5,A01,29.58,16,20,22,25,3.07,3.42,2.99,3.13,Pass,Pass,Pass,Pass,1,Văn Lang
S00037,Male,4,6,A00,24.85,11,25,22,13,3.38,3.79,2.58,3.39,Pass,Pass,Pass,Pass,1,Hutech
S00038,Female,3,3,B00,24.87,25,24,14,21,3.24,3.3,3.47,3.76,Pass,Pass,Pass,Pass,1,Văn Lang
S00039,Male,3,4,D01,27.01,12,21,13,13,3.19,3.87,3.64,2.79,Pass,Pass,Pass,Pass,1,Hutech
S00040,Male,3,6,D01,26.89,23,25,11,20,3.81,2.83,3.42,3.3,Pass,Pass,Pass,Pass,1,Văn Lang
S00041,Female,5,1,A01,25.49,14,23,18,22,2.81,3.23,3.91,3.05,Pass,Pass,Pass,Pass,1,Văn Lang
S00042,Male,6,4,A01,24.93,22,13,14,24,3.87,3.25,3.88,2.74,Pass,Pass,Pass,Pass,1,Hutech
S00043,Male,3,7,D01,28.65,16,15,23,20,3.28,2.96,3.14,3.21,Pass,Pass,Pass,Pass,1,Hutech
S00044,Male,6,3,A01,23.85,17,20,20,13,3.92,3.42,3.82,2.88,Pass,Pass,Pass,Pass,1,Văn Lang
S00045,Male,1,6,C00,26.31,19,25,20,13,3.21,2.67,3.91,3.1,Pass,Pass,Pass,Pass,1,Hutech
S00046,Female,3,2,A01,23.85,15,11,11,11,3.91,3.63,3.15,3.92,Pass,Pass,Pass,Pass,1,Hutech
S00047,Male,2,7,A01,22.6,14,15,17,18,3.1,2.29,3.39,3.4,Pass,Fail,Pass,Pass,1,Văn Lang
S00048,Male,3,6,B00,23.15,22,15,11,18,3.02,3.01,2.61,3.35,Pass,Pass,Pass,Pass,1,Hutech
S00049,Female,3,5,B00,25.49,15,11,15,25,2.95,3.96,3.37,3.49,Pass,Pass,Pass,Pass,1,Hutech
S00050,Male,5,2,A00,23.66,22,10,13,12,3.1,3.8,3.87,2.73,Pass,Pass,Pass,Pass,1,Hutech
S00051,Male,6,5,A00,25.73,25,14,11,14,2.72,2.97,3.48,3.88,Pass,Pass,Pass,Pass,1,Văn Lang
S00052,Male,3,1,A01,23.26,11,22,12,13,3.56,3.22,3.53,3.87,Pass,Pass,Pass,Pass,1,Văn Lang
S00053,Male,4,1,B00,28.81,22,16,16,24,3.34,3.42,3.48,3.99,Pass,Pass,Pass,Pass,1,Hutech
S00054,Female,5,1,C00,23.36,21,15,18,25,3.1,2.53,3.15,3.75,Pass,Pass,Pass,Pass,1,Hutech
S00055,Male,1,3,A01,26.25,24,20,15,11,2.79,3.37,3.72,2.84,Pass,Pass,Pass,Pass,1,Văn Lang
S00056,Male,1,3,A00,23.3,23,14,12,19,2.55,3.73,2.62,3.67,Pass,Pass,Pass,Pass,1,Văn Lang
S00057,Male,1,5,B00,29.65,17,25,15,24,3.26,3.07,3.07,3.13,Pass,Pass,Pass,Pass,1,Văn Lang
S00058,Male,3,6,A01,24.85,22,21,17,14,3.34,3.67,3.49,2.89,Pass,Pass,Pass,Pass,1,Hutech
S00059,Male,3,4,D01,28.34,17,17,10,13,2.91,3.79,3.75,3.34,Pass,Pass,Pass,Pass,1,Văn Lang
S00060,Male,1,1,A00,26.61,10,19,14,15,3.86,3.73,2.77,3.33,Pass,Pass,Pass,Pass,1,Hutech
S00061,Male,1,5,C00,23.14,22,17,16,21,2.51,3.04,3.76,3.77,Pass,Pass,Pass,Pass,1,Văn Lang
S00062,Female,4,6,B00,21.35,15,14,12,12,3.55,3.55,3.84,2.83,Pass,Pass,Pass,Pass,1,Hutech
S00063,Male,3,4,A00,22.05,13,20,15,25,3.08,3.1,2.64,2.51,Pass,Pass,Pass,Pass,1,Văn Lang
S00064,Male,2,2,B00,22.91,21,12,25,10,3.64,2.74,3.55,3.32,Pass,Pass,Pass,Pass,1,Hutech
S00065,Female,3,6,A01,26.73,20,21,19,15,2.87,3.9,2.96,2.99,Pass,Pass,Pass,Pass,1,Văn Lang
S00066,Male,1,2,D01,21.65,25,16,24,13,3.91,2.54,3.11,3.21,Pass,Pass,Pass,Pass,1,Văn Lang
S00067,Male,3,5,C00,28.19,23,24,21,22,3.71,2.97,3.92,3.35,Pass,Pass,Pass,Pass,1,Văn Lang
S00068,Male,5,6,B00,23.2,12,20,17,20,3.03,2.97,3.13,3.36,Pass,Pass,Pass,Pass,1,Văn Lang
S00069,Female,2,5,D01,26.4,23,21,10,21,3.52,3.78,2.95,2.74,Pass,Pass,Pass,Pass,1,Hutech
S00070,Male,2,2,B00,26.84,12,20,17,21,2.91,2.93,3.08,3.33,Pass,Pass,Pass,Pass,1,Hutech
S00071,Female,1,3,B00,24.99,22,14,12,23,2.75,2.66,3.17,3.93,Pass,Pass,Pass,Pass,1,Hutech
S00072,Female,5,1,C00,29.05,21,12,17,12,3.63,3.19,3.38,3.61,Pass,Pass,Pass,Pass,1,Hutech
S00073,Female,1,3,A00,22.86,15,14,25,25,3.43,3.73,2.58,3.69,Pass,Pass,Pass,Pass,1,Văn Lang
S00074,Female,4,7,C00,24.66,14,15,10,11,3.92,3.78,2.79,2.82,Pass,Pass,Pass,Pass,1,Hutech
S00075,Male,2,4,D01,29.46,25,16,21,19,3.83,3.43,3.26,3.95,Pass,Pass,Pass,Pass,1,Hutech
S00076,Male,3,2,D01,21.15,19,24,12,19,3.22,3.06,3.32,3.74,Pass,Pass,Pass,Pass,1,Hutech
S00077,Male,1,4,D01,28.57,11,10,14,17,3.68,3.99,3.2,3.75,Pass,Pass,Pass,Pass,1,Văn Lang
S00078,Female,1,7,D01,28.27,10,15,19,24,3.15,3.89,3.0,2.84,Pass,Pass,Pass,Pass,1,Văn Lang
S00079,Male,4,4,A01,26.23,17,10,18,14,3.97,3.49,3.97,3.88,Pass,Pass,Pass,Pass,1,Văn Lang
S00080,Female,1,2,D01,28.31,10,22,25,13,3.59,3.51,3.74,3.25,Pass,Pass,Pass,Pass,1,Văn Lang
S00081,Female,2,1,A01,23.68,20,25,16,24,3.82,2.49,2.52,3.05,Pass,Pass,Pass,Pass,1,Văn Lang
S00082,Male,3,3,A00,27.85,16,14,23,12,3.78,2.8,3.21,3.26,Pass,Pass,Pass,Pass,1,Hutech
S00083,Female,2,5,B00,26.65,12,13,13,20,3.1,3.25,3.6,3.4,Pass,Pass,Pass,Pass,1,Hutech
S00084,Male,1,2,D01,24.33,18,21,15,20,3.92,2.56,2.95,3.52,Pass,Pass,Pass,Pass,1,Văn Lang
S00085,Female,6,5,B00,21.79,15,19,17,14,2.62,2.56,3.96,2.43,Pass,Pass,Pass,Pass,1,Văn Lang
S00086,Female,3,4,D01,24.91,24,11,22,21,3.83,3.1,3.0,3.81,Pass,Pass,Pass,Pass,1,Văn Lang
S00087,Male,1,1,D01,22.2,11,15,14,18,3.25,2.25,2.39,2.97,Pass,Pass,Pass,Pass,1,Hutech
S00088,Female,3,2,D01,25.98,16,22,14,15,3.47,3.07,2.74,3.61,Pass,Pass,Pass,Pass,1,Hutech
S00089,Female,6,6,A00,27.33,14,19,13,25,2.94,3.29,3.52,2.87,Pass,Pass,Pass,Pass,1,Văn Lang
S00090,Female,4,3,A01,22.16,13,17,19,18,3.33,2.85,3.56,3.16,Pass,Pass,Pass,Pass,1,Văn Lang
S00091,Female,4,2,D01,27.77,12,18,16,13,2.96,3.38,3.78,3.97,Pass,Pass,Pass,Pass,1,Hutech
S00092,Female,6,7,A01,25.84,25,19,13,18,3.52,2.97,3.54,3.27,Pass,Pass,Pass,Pass,1,Văn Lang
S00093,Female,3,7,C00,22.85,22,11,24,18,2.66,3.46,2.71,3.93,Pass,Pass,Pass,Pass,1,Hutech
S00094,Male,3,3,A00,28.47,15,25,17,13,3.84,3.09,2.94,3.42,Pass,Pass,Pass,Pass,1,Hutech
S00095,Female,6,7,B00,27.98,25,12,17,22,3.56,3.67,3.6,3.96,Pass,Pass,Pass,Pass,1,Văn Lang
S00096,Female,1,2,A01,27.85,19,21,13,19,3.51,3.07,3.12,3.49,Pass,Pass,Pass,Pass,1,Hutech
S00097,Male,1,7,D01,21.77,11,15,18,22,2.86,3.64,3.0,3.04,Pass,Pass,Pass,Pass,1,Văn Lang
S00098,Female,3,4,A01,28.32,24,12,18,24,3.02,3.7,3.99,3.9,Pass,Pass,Pass,Pass,1,Văn Lang
S00099,Female,3,3,D01,21.14,22,24,22,21,3.33,2.21,3.65,3.05,Pass,Pass,Pass,Pass,1,Hutech
S00100,Female,6,2,C00,22.6,23,10,13,12,3.14,2.56,3.94,3.69,Pass,Pass,Pass,Pass,1,Văn Lang
S00101,Female,1,5,C00,28.03,12,21,25,14,3.82,3.19,3.27,3.37,Pass,Pass,Pass,Pass,1,Văn Lang
S00102,Female,6,6,D01,20.69,13,15,16,21,2.38,2.48,3.95,3.44,Pass,Pass,Pass,Pass,1,Văn Lang
S00103,Female,6,3,B00,26.63,10,15,14,24,2.73,3.15,2.67,2.85,Pass,Pass,Pass,Pass,1,Văn Lang
S00104,Female,4,2,A00,24.44,23,10,19,21,2.54,3.25,3.3,2.82,Pass,Pass,Pass,Pass,1,Hutech
S00105,Male,3,2,A01,28.22,23,11,23,22,3.99,3.67,3.24,3.21,Pass,Pass,Pass,Pass,1,Hutech
S00106,Male,4,6,C00,26.5,18,23,22,18,3.66,3.57,3.62,3.82,Pass,Pass,Pass,Pass,1,Hutech
S00107,Male,4,3,C00,28.92,24,16,16,14,2.94,3.98,2.95,3.58,Pass,Pass,Pass,Pass,1,Hutech
S00108,Female,1,4,A01,25.75,21,17,13,23,3.03,2.95,3.12,2.88,Pass,Pass,Pass,Pass,1,Văn Lang
S00109,Male,2,6,C00,21.51,23,14,18,25,3.26,3.3,3.18,3.43,Pass,Pass,Pass,Pass,1,Hutech
S00110,Female,5,2,D01,26.15,16,16,23,13,3.49,3.79,3.85,2.64,Pass,Pass,Pass,Pass,1,Văn Lang
S00111,Male,3,1,B00,27.77,15,17,12,12,2.8,3.89,3.8,2.87,Pass,Pass,Pass,Pass,1,Văn Lang
S00112,Female,2,3,C00,21.15,21,13,22,21,3.63,2.26,2.72,3.2,Pass,Pass,Pass,Pass,1,Hutech
S00113,Female,2,6,A00,28.39,15,25,20,23,2.94,3.75,3.59,3.47,Pass,Pass,Pass,Pass,1,Hutech
S00114,Male,4,7,A00,24.06,22,18,21,24,3.3,2.73,3.46,3.99,Pass,Pass,Pass,Pass,1,Văn Lang
S00115,Male,2,5,C00,21.94,15,23,25,17,2.94,2.58,2.27,3.06,Pass,Pass,Fail,Pass,0,Hutech
S00116,Female,5,7,C00,27.5,15,22,20,16,3.87,3.83,3.34,3.37,Pass,Pass,Pass,Pass,1,Hutech
S00117,Female,6,5,D01,27.79,23,10,17,11,3.31,2.98,3.27,3.23,Pass,Pass,Pass,Pass,1,Văn Lang
S00118,Male,4,4,B00,21.2,25,24,18,25,3.21,2.71,3.66,2.46,Pass,Pass,Pass,Pass,1,Hutech
S00119,Male,1,6,C00,26.19,24,20,15,24,3.39,3.52,2.66,2.85,Pass,Pass,Pass,Pass,1,Văn Lang
S00120,Female,4,4,A01,20.92,14,17,11,15,2.91,3.43,3.01,2.25,Pass,Pass,Pass,Fail,1,Hutech
S00121,Male,2,1,A00,22.04,12,23,11,13,3.89,2.38,2.34,3.14,Pass,Fail,Pass,Pass,1,Văn Lang
S00122,Female,2,3,B00,23.89,24,16,15,21,2.51,3.69,2.64,3.65,Pass,Pass,Pass,Pass,1,Hutech
S00123,Female,4,2,C00,23.23,15,20,25,19,3.89,3.67,2.63,3.24,Pass,Pass,Pass,Pass,1,Hutech
S00124,Male,1,3,B00,28.38,16,19,10,25,3.75,3.95,3.57,3.0,Pass,Pass,Pass,Pass,1,Văn Lang
S00125,Male,2,6,B00,20.83,17,22,25,16,3.51,3.51,2.37,2.19,Pass,Pass,Pass,Pass,1,Văn Lang
S00126,Female,3,6,B00,23.93,12,14,14,13,3.37,3.4,3.07,3.7,Pass,Pass,Pass,Pass,1,Hutech
S00127,Female,4,1,A00,27.8,10,25,19,15,3.58,3.97,3.78,3.8,Pass,Pass,Pass,Pass,1,Văn Lang
S00128,Male,4,4,B00,24.73,19,17,12,15,2.87,3.38,2.91,3.92,Pass,Pass,Pass,Pass,1,Hutech
S00129,Female,2,5,C00,29.51,14,16,20,21,3.66,3.47,3.54,3.67,Pass,Pass,Pass,Pass,1,Hutech
S00130,Female,5,7,D01,25.41,16,20,17,20,3.32,3.26,2.72,3.73,Pass,Pass,Pass,Pass,1,Hutech
S00131,Male,6,7,D01,24.81,15,10,20,13,2.78,3.13,3.65,3.33,Pass,Pass,Pass,Pass,1,Văn Lang
S00132,Male,6,7,A00,24.32,23,21,20,23,3.85,3.28,3.67,3.57,Pass,Pass,Pass,Pass,1,Văn Lang
S00133,Male,1,7,D01,27.29,20,21,10,24,3.1,2.97,3.0,2.94,Pass,Pass,Pass,Pass,1,Văn Lang
S00134,Male,6,7,C00,20.68,23,10,11,13,2.24,2.65,3.09,3.27,Pass,Pass,Pass,Pass,1,Văn Lang
S00135,Male,3,4,B00,24.48,13,16,21,19,2.83,3.07,3.03,2.73,Pass,Pass,Pass,Pass,1,Hutech
S00136,Male,2,1,D01,28.02,17,20,22,18,3.23,3.19,3.52,3.76,Pass,Pass,Pass,Pass,1,Hutech
S00137,Male,2,7,C00,20.11,18,16,12,25,3.9,2.1,3.05,3.26,Pass,Fail,Pass,Pass,1,Văn Lang
S00138,Female,1,5,A01,29.81,13,19,15,13,3.42,3.33,3.52,3.94,Pass,Pass,Pass,Pass,1,Văn Lang
S00139,Male,2,3,B00,21.52,12,11,16,17,2.87,2.67,2.38,2.86,Pass,Pass,Pass,Pass,1,Văn Lang
S00140,Male,3,1,B00,22.5,17,24,21,16,3.75,3.4,3.91,2.42,Pass,Pass,Pass,Pass,1,Văn Lang
S00141,Female,2,3,D01,24.45,11,18,16,20,3.59,3.42,3.94,2.58,Pass,Pass,Pass,Pass,1,Văn Lang
S00142,Female,5,7,A00,22.01,24,13,23,18,3.83,2.91,3.81,2.96,Pass,Pass,Pass,Pass,1,Văn Lang
S00143,Male,6,1,C00,20.72,18,24,20,22,2.24,2.13,2.92,2.4,Pass,Fail,Pass,Pass,1,Hutech
S00144,Male,4,2,D01,24.56,22,23,11,16,3.87,2.71,2.83,2.71,Pass,Pass,Pass,Pass,1,Văn Lang
S00145,Female,3,4,C00,25.39,25,12,19,11,2.8,3.39,2.61,2.6,Pass,Pass,Pass,Pass,1,Hutech
S00146,Male,5,2,D01,20.16,24,12,10,10,2.7,2.78,2.89,2.22,Pass,Pass,Pass,Fail,1,Văn Lang
S00147,Female,5,4,A01,22.89,19,12,23,18,3.29,3.98,3.69,3.41,Pass,Pass,Pass,Pass,1,Hutech
S00148,Female,1,6,A00,24.4,14,15,25,25,2.91,2.49,3.03,2.89,Pass,Fail,Pass,Pass,0,Hutech
S00149,Female,2,4,A00,26.3,19,11,12,24,3.47,2.65,3.54,3.55,Pass,Pass,Pass,Pass,1,Hutech
S00150,Male,4,5,D01,25.51,12,19,14,19,2.59,3.66,3.57,3.66,Pass,Pass,Pass,Pass,1,Văn Lang
S00151,Female,3,4,A00,26.45,22,20,18,10,3.22,3.89,3.17,2.75,Pass,Pass,Pass,Pass,1,Hutech
S00152,Female,2,3,C00,26.24,19,17,21,11,3.97,3.68,3.77,3.27,Pass,Pass,Pass,Pass,1,Văn Lang
S00153,Male,5,5,A00,23.46,23,20,17,24,3.48,2.9,2.56,2.87,Pass,Pass,Pass,Pass,1,Văn Lang
S00154,Female,5,3,A00,28.06,25,19,20,12,3.51,3.89,3.95,3.03,Pass,Pass,Pass,Pass,1,Hutech
S00155,Male,3,4,A00,28.64,12,24,25,24,3.72,3.63,3.3,3.36,Pass,Pass,Pass,Pass,1,Văn Lang
S00156,Male,4,4,A01,25.27,24,12,19,16,3.44,3.13,3.46,2.76,Pass,Pass,Pass,Pass,1,Văn Lang
S00157,Male,5,6,C00,20.14,24,24,20,25,2.67,3.68,2.35,2.57,Pass,Pass,Pass,Pass,1,Văn Lang
S00158,Male,4,1,A01,27.25,14,23,18,17,3.52,3.88,3.45,3.5,Pass,Pass,Pass,Pass,1,Hutech
S00159,Male,2,2,D01,26.17,11,12,11,22,2.93,2.88,3.4,3.91,Pass,Pass,Pass,Pass,1,Hutech
S00160,Female,1,7,C00,21.76,20,18,25,22,2.78,2.26,2.86,2.75,Pass,Pass,Pass,Pass,1,Văn Lang
S00161,Male,3,3,D01,27.69,16,21,25,14,3.65,3.15,3.03,3.56,Pass,Pass,Pass,Pass,1,Văn Lang
S00162,Male,1,4,A01,23.53,19,16,16,13,2.97,2.8,3.06,3.08,Pass,Pass,Pass,Pass,1,Hutech
S00163,Male,5,6,A00,20.28,10,18,20,13,3.34,3.22,3.69,2.63,Pass,Pass,Pass,Pass,1,Văn Lang
S00164,Male,3,6,A00,25.53,19,14,18,20,3.8,3.54,3.2,2.71,Pass,Pass,Pass,Pass,1,Văn Lang
S00165,Male,5,5,A00,23.12,25,22,13,17,3.74,3.32,2.68,2.4,Pass,Pass,Pass,Fail,1,Hutech
S00166,Female,1,1,A01,29.79,17,25,24,20,3.92,3.84,3.51,3.88,Pass,Pass,Pass,Pass,1,Hutech
S00167,Female,4,2,D01,26.38,25,13,18,15,3.07,3.41,3.07,2.76,Pass,Pass,Pass,Pass,1,Hutech
S00168,Female,4,3,C00,28.06,14,11,20,17,3.25,3.66,3.72,3.78,Pass,Pass,Pass,Pass,1,Văn Lang
S00169,Female,6,2,A01,29.15,10,24,19,23,3.39,2.96,3.89,3.03,Pass,Pass,Pass,Pass,1,Hutech
S00170,Female,1,2,D01,27.57,17,19,19,13,3.46,2.78,3.61,3.02,Pass,Pass,Pass,Pass,1,Văn Lang
S00171,Male,4,2,C00,25.83,19,25,25,23,3.82,3.31,2.9,3.19,Pass,Pass,Pass,Pass,1,Hutech
S00172,Male,6,1,A00,26.9,25,13,21,11,2.84,3.2,2.76,3.29,Pass,Pass,Pass,Pass,1,Văn Lang
S00173,Male,3,3,D01,20.49,20,11,25,13,2.94,2.22,2.41,3.87,Pass,Fail,Pass,Pass,1,Hutech
S00174,Female,2,4,D01,24.24,25,23,16,15,3.67,3.25,2.53,3.47,Pass,Pass,Pass,Pass,1,Hutech
S00175,Male,3,7,D01,24.4,16,21,20,11,2.82,3.16,2.81,3.55,Pass,Pass,Pass,Pass,1,Hutech
S00176,Female,2,7,A00,25.57,23,19,20,24,3.88,3.37,2.87,2.61,Pass,Pass,Pass,Pass,1,Hutech
S00177,Female,6,4,A01,25.31,23,17,21,19,3.73,2.99,3.72,3.89,Pass,Pass,Pass,Pass,1,Văn Lang
S00178,Male,2,2,C00,28.6,11,14,24,19,3.8,3.49,2.88,3.84,Pass,Pass,Pass,Pass,1,Văn Lang
S00179,Male,4,4,A01,27.95,21,23,22,22,3.53,3.0,3.62,3.9,Pass,Pass,Pass,Pass,1,Hutech
S00180,Male,1,5,D01,24.22,19,23,20,21,3.01,3.4,2.56,3.39,Pass,Pass,Pass,Pass,1,Văn Lang
S00181,Male,2,4,A00,29.09,11,15,10,23,3.64,3.15,3.97,3.48,Pass,Pass,Pass,Pass,1,Văn Lang
S00182,Female,6,1,B00,20.87,18,18,22,16,3.2,3.29,3.84,2.35,Pass,Pass,Pass,Fail,0,Văn Lang
S00183,Female,2,6,B00,22.75,17,17,15,20,2.49,2.62,3.73,3.08,Pass,Pass,Pass,Pass,1,Hutech
S00184,Male,2,7,A01,23.52,16,13,18,11,2.91,3.03,3.64,2.43,Pass,Pass,Pass,Pass,1,Hutech
S00185,Female,2,1,A01,28.14,11,19,18,16,3.69,3.67,3.99,3.16,Pass,Pass,Pass,Pass,1,Hutech
S00186,Male,4,1,A01,26.21,18,16,18,19,3.28,3.35,2.95,3.04,Pass,Pass,Pass,Pass,1,Văn Lang
S00187,Female,2,6,B00,21.71,14,10,20,10,3.43,3.39,3.9,3.82,Pass,Pass,Pass,Pass,1,Văn Lang
S00188,Male,2,5,C00,26.76,21,13,16,19,3.4,3.95,3.73,2.85,Pass,Pass,Pass,Pass,1,Văn Lang
S00189,Male,5,5,C00,26.36,15,24,21,17,3.53,3.65,2.74,3.97,Pass,Pass,Pass,Pass,1,Hutech
S00190,Male,3,1,B00,21.95,22,17,21,23,3.94,3.95,3.16,2.86,Pass,Pass,Pass,Pass,1,Văn Lang
S00191,Male,3,3,D01,27.26,25,23,17,10,3.32,3.22,3.39,2.81,Pass,Pass,Pass,Pass,1,Văn Lang
S00192,Male,1,1,A00,25.24,16,21,14,21,3.61,3.17,2.66,3.47,Pass,Pass,Pass,Pass,1,Hutech
S00193,Female,2,7,A00,23.54,22,15,22,16,2.44,3.67,2.64,3.92,Pass,Pass,Pass,Pass,1,Văn Lang
S00194,Male,6,6,D01,27.37,15,22,10,13,3.65,3.28,3.05,3.94,Pass,Pass,Pass,Pass,1,Văn Lang
S00195,Female,5,4,A00,28.73,20,17,13,14,3.22,3.25,3.96,3.59,Pass,Pass,Pass,Pass,1,Văn Lang
S00196,Female,1,2,A00,26.04,11,25,20,21,3.36,3.84,3.63,3.49,Pass,Pass,Pass,Pass,1,Hutech
S00197,Male,3,2,A00,28.91,18,18,14,12,3.98,3.49,3.79,3.8,Pass,Pass,Pass,Pass,1,Hutech
S00198,Female,6,3,A01,25.67,19,16,14,25,2.63,3.21,3.01,3.32,Pass,Pass,Pass,Pass,1,Hutech
S00199,Male,3,3,B00,23.78,23,11,25,22,3.62,2.74,3.08,3.47,Pass,Pass,Pass,Pass,1,Văn Lang
S00200,Male,4,4,B00,26.83,10,18,12,10,3.49,2.87,3.65,3.76,Pass,Pass,Pass,Pass,1,Văn Lang
S00201,Male,5,6,A00,25.2,18,11,18,17,3.76,3.91,3.8,3.16,Pass,Pass,Pass,Pass,1,Văn Lang
S00202,Female,2,2,D01,25.06,21,20,21,16,2.62,3.22,3.17,3.08,Pass,Pass,Pass,Pass,1,Hutech
S00203,Female,4,1,B00,24.26,19,17,25,13,2.99,3.58,3.85,3.2,Pass,Pass,Pass,Pass,1,Văn Lang
S00204,Female,6,1,D01,22.98,17,19,18,21,3.58,3.95,3.1,2.92,Pass,Pass,Pass,Pass,1,Hutech
S00205,Female,1,2,D01,21.02,22,25,24,10,3.78,3.46,3.05,3.06,Pass,Pass,Pass,Pass,1,Hutech
S00206,Female,1,6,A00,28.38,24,12,11,21,3.8,2.92,3.08,3.77,Pass,Pass,Pass,Pass,1,Hutech
S00207,Male,5,5,A00,28.18,12,19,25,11,3.51,3.76,3.9,3.71,Pass,Pass,Pass,Pass,1,Văn Lang
S00208,Female,4,5,A01,23.82,15,25,25,11,2.89,3.5,3.25,3.14,Pass,Pass,Pass,Pass,1,Hutech
